date,area_type,area_code,area_name,metric,metric_name,value
2022-02-22,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7667.0
2022-02-22,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,28019.0
2022-02-22,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2679.0
2022-02-23,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,858.0
2022-02-23,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2371.0
2022-02-23,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,26009.0
2022-02-23,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7239.0
2022-02-24,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,21882.0
2022-02-24,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1887.0
2022-02-24,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6154.0
2022-02-24,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,708.0
2022-02-25,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,5978.0
2022-02-25,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,617.0
2022-02-25,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,19533.0
2022-02-25,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1709.0
2022-02-26,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,499.0
2022-02-26,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,5383.0
2022-02-26,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,17604.0
2022-02-26,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1603.0
2022-02-27,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,589.0
2022-02-27,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2090.0
2022-02-27,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6516.0
2022-02-27,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,22165.0
2022-02-28,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,9265.0
2022-02-28,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2520.0
2022-02-28,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,999.0
2022-02-28,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,31865.0
2022-03-01,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,9450.0
2022-03-01,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2498.0
2022-03-01,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,31864.0
2022-03-01,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,983.0
2022-03-02,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,9367.0
2022-03-02,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1055.0
2022-03-02,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2396.0
2022-03-02,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,33361.0
2022-03-03,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1052.0
2022-03-03,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2157.0
2022-03-03,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,9019.0
2022-03-03,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,31533.0
2022-03-04,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1866.0
2022-03-04,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,832.0
2022-03-04,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8105.0
2022-03-04,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,30605.0
2022-03-05,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7707.0
2022-03-05,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,28509.0
2022-03-05,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1756.0
2022-03-05,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,787.0
2022-03-06,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2209.0
2022-03-06,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,10048.0
2022-03-06,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,35914.0
2022-03-06,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,855.0
2022-03-07,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1494.0
2022-03-07,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,13338.0
2022-03-07,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,50982.0
2022-03-07,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2706.0
2022-03-08,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2690.0
2022-03-08,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1492.0
2022-03-08,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,52343.0
2022-03-08,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,13587.0
2022-03-09,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1569.0
2022-03-09,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,13938.0
2022-03-09,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,55491.0
2022-03-09,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2533.0
2022-03-10,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,54298.0
2022-03-10,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1501.0
2022-03-10,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,12499.0
2022-03-10,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2212.0
2022-03-11,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1960.0
2022-03-11,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,11412.0
2022-03-11,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,52270.0
2022-03-11,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1388.0
2022-03-12,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,10084.0
2022-03-12,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1147.0
2022-03-12,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1686.0
2022-03-12,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,49161.0
2022-03-13,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2050.0
2022-03-13,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1284.0
2022-03-13,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,12134.0
2022-03-13,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,60271.0
2022-03-14,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,15280.0
2022-03-14,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2566.0
2022-03-14,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2471.0
2022-03-14,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,79517.0
2022-03-15,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2396.0
2022-03-15,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2404.0
2022-03-15,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,74101.0
2022-03-15,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,14807.0
2022-03-16,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,73951.0
